song_id,artist_individ,artist_name,track_name,artist_count,collab_artist,relationship,artist_x,artist_y,circle_y,streams
41,Jack Harlow,"Jack Harlow, Lil Nas X",INDUSTRY BABY (feat. Jack Harlow),2,Lil Nas X,Jack Harlow-Lil Nas X,524,515,515,1814349763
15,James Arthur,James Arthur,"Say You Won't Let Go",1,James Arthur,James Arthur-James Arthur,-243,-784,-784,2420461338
138,Jay Rock,"Kendrick Lamar, Jay Rock",Money Trees,2,Kendrick Lamar,Jay Rock-Kendrick Lamar,-708,-671,-671,1093605526
138,Jay Rock,"Kendrick Lamar, Jay Rock",Money Trees,2,Jay Rock,Jay Rock-Jay Rock,-708,-671,-671,1093605526
47,Jhay Cortez,"Bad Bunny, Jhay Cortez",Dakiti,2,Bad Bunny,Bad Bunny-Jhay Cortez,-142,491,491,1763363713
47,Jhay Cortez,"Bad Bunny, Jhay Cortez",Dakiti,2,Jhay Cortez,Jhay Cortez-Jhay Cortez,-142,491,491,1763363713
29,John Legend,John Legend,All of Me,1,John Legend,John Legend-John Legend,-938,-989,-989,2086124197
133,Joji,Joji,SLOW DANCING IN THE DARK,1,Joji,Joji-Joji,-531,106,106,1122364376
109,Juan Cruz Toledo,"Juan Cruz Toledo, Huilen Toledo",traitor,2,Juan Cruz Toledo,Juan Cruz Toledo-Juan Cruz Toledo,692,67,67,1230855859
109,Juan Cruz Toledo,"Juan Cruz Toledo, Huilen Toledo",traitor,2,Huilen Toledo,Huilen Toledo-Juan Cruz Toledo,692,67,67,1230855859
19,Juice WRLD,Juice WRLD,Lucid Dreams,1,Juice WRLD,Juice WRLD-Juice WRLD,717,146,146,2288695111
7,Justin Bieber,"Justin Bieber, The Kid Laroi",STAY (with Justin Bieber),2,Justin Bieber,Justin Bieber-Justin Bieber,910,-246,-246,2665343922
7,Justin Bieber,"Justin Bieber, The Kid Laroi",STAY (with Justin Bieber),2,The Kid Laroi,Justin Bieber-The Kid Laroi,910,-246,-246,2665343922
28,Justin Bieber,Justin Bieber,Love Yourself,1,Justin Bieber,Justin Bieber-Justin Bieber,910,-246,-246,2123309722
79,Justin Bieber,"Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),3,Justin Bieber,Justin Bieber-Justin Bieber,910,-246,-246,1445941661
79,Justin Bieber,"Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),3,Daniel Caesar,Daniel Caesar-Justin Bieber,910,-246,-246,1445941661
79,Justin Bieber,"Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),3,Giveon,Giveon-Justin Bieber,910,-246,-246,1445941661
123,Justin Bieber,Justin Bieber,Ghost,1,Justin Bieber,Justin Bieber-Justin Bieber,910,-246,-246,1167330737
147,Kali Uchis,"Tyler The Creator, Kali Uchis",See You Again,3,Tyler The Creator,Kali Uchis-Tyler The Creator,-390,117,117,1047101291
147,Kali Uchis,"Tyler The Creator, Kali Uchis",See You Again,3,Kali Uchis,Kali Uchis-Kali Uchis,-390,117,117,1047101291
149,Kate Bush,Kate Bush,Running Up That Hill (A Deal With God),1,Kate Bush,Kate Bush-Kate Bush,652,224,224,1024858327
139,Keane,Keane,Somewhere Only We Know,1,Keane,Keane-Keane,-731,25,25,1089402494
35,Kendrick Lamar,Kendrick Lamar,HUMBLE.,1,Kendrick Lamar,Kendrick Lamar-Kendrick Lamar,-705,921,921,1929770265
138,Kendrick Lamar,"Kendrick Lamar, Jay Rock",Money Trees,2,Kendrick Lamar,Kendrick Lamar-Kendrick Lamar,-705,921,921,1093605526
138,Kendrick Lamar,"Kendrick Lamar, Jay Rock",Money Trees,2,Jay Rock,Jay Rock-Kendrick Lamar,-705,921,921,1093605526
16,Khalid,"Billie Eilish, Khalid",lovely - Bonus Track,2,Billie Eilish,Billie Eilish-Khalid,910,45,45,2355719893
16,Khalid,"Billie Eilish, Khalid",lovely - Bonus Track,2,Khalid,Khalid-Khalid,910,45,45,2355719893
110,Kim Petras,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),2,Sam Smith,Kim Petras-Sam Smith,-417,333,333,1230675890
110,Kim Petras,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),2,Kim Petras,Kim Petras-Kim Petras,-417,333,333,1230675890
75,Kimbra,"Gotye, Kimbra",Somebody That I Used To Know,2,Gotye,Gotye-Kimbra,430,378,378,1457139296
75,Kimbra,"Gotye, Kimbra",Somebody That I Used To Know,2,Kimbra,Kimbra-Kimbra,430,378,378,1457139296
6,Kyla,"Drake, WizKid, Kyla",One Dance,3,Drake,Drake-Kyla,-180,234,234,2713922350
6,Kyla,"Drake, WizKid, Kyla",One Dance,3,WizKid,Kyla-WizKid,-180,234,234,2713922350
6,Kyla,"Drake, WizKid, Kyla",One Dance,3,Kyla,Kyla-Kyla,-180,234,234,2713922350
89,L.V.,"Coolio, L.V.","Gangsta's Paradise",2,Coolio,Coolio-L.V.,358,534,534,1357608774
89,L.V.,"Coolio, L.V.","Gangsta's Paradise",2,L.V.,L.V.-L.V.,358,534,534,1357608774
25,Lady Gaga,"Lady Gaga, Bradley Cooper",Shallow,2,Lady Gaga,Lady Gaga-Lady Gaga,567,305,305,2159346687
25,Lady Gaga,"Lady Gaga, Bradley Cooper",Shallow,2,Bradley Cooper,Bradley Cooper-Lady Gaga,567,305,305,2159346687
111,League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",Enemy (with JID) - from the series Arcane League of Legends,4,Imagine Dragons,Imagine Dragons-League of Legends,647,324,324,1223481149
111,League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",Enemy (with JID) - from the series Arcane League of Legends,4,League of Legends,League of Legends-League of Legends,647,324,324,1223481149
111,League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",Enemy (with JID) - from the series Arcane League of Legends,4,JID,JID-League of Legends,647,324,324,1223481149
111,League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",Enemy (with JID) - from the series Arcane League of Legends,4,Arcane,Arcane-League of Legends,647,324,324,1223481149
112,League of Legends,"Imagine Dragons, League of Legends, Arcane",Enemy - from the series Arcane League of Legends,3,Imagine Dragons,Imagine Dragons-League of Legends,647,324,324,1223481149
112,League of Legends,"Imagine Dragons, League of Legends, Arcane",Enemy - from the series Arcane League of Legends,3,League of Legends,League of Legends-League of Legends,647,324,324,1223481149
112,League of Legends,"Imagine Dragons, League of Legends, Arcane",Enemy - from the series Arcane League of Legends,3,Arcane,Arcane-League of Legends,647,324,324,1223481149
3,Lewis Capaldi,Lewis Capaldi,Someone You Loved,1,Lewis Capaldi,Lewis Capaldi-Lewis Capaldi,-403,-246,-246,2887241814
62,Lewis Capaldi,Lewis Capaldi,Before You Go,1,Lewis Capaldi,Lewis Capaldi-Lewis Capaldi,-403,-246,-246,1608045237
41,Lil Nas X,"Jack Harlow, Lil Nas X",INDUSTRY BABY (feat. Jack Harlow),2,Jack Harlow,Jack Harlow-Lil Nas X,-79,887,887,1814349763
41,Lil Nas X,"Jack Harlow, Lil Nas X",INDUSTRY BABY (feat. Jack Harlow),2,Lil Nas X,Lil Nas X-Lil Nas X,-79,887,887,1814349763
50,Lil Nas X,Lil Nas X,MONTERO (Call Me By Your Name),1,Lil Nas X,Lil Nas X-Lil Nas X,-79,887,887,1735441776
60,Linkin Park,Linkin Park,In The End,1,Linkin Park,Linkin Park-Linkin Park,-309,-205,-205,1624165576
88,Linkin Park,Linkin Park,Numb,1,Linkin Park,Linkin Park-Linkin Park,-309,-205,-205,1361425037
84,Lord Huron,Lord Huron,The Night We Met,1,Lord Huron,Lord Huron-Lord Huron,-546,-678,-678,1410088830
100,Lucenzo,"Don Omar, Lucenzo",Danza Kuduro,2,Don Omar,Don Omar-Lucenzo,-706,659,659,1279434863
100,Lucenzo,"Don Omar, Lucenzo",Danza Kuduro,2,Lucenzo,Lucenzo-Lucenzo,-706,659,659,1279434863
33,Macklemore,"Ray Dalton, Ryan Lewis, Macklemore","Can't Hold Us (feat. Ray Dalton)",3,Ray Dalton,Macklemore-Ray Dalton,-356,254,254,1953533826
33,Macklemore,"Ray Dalton, Ryan Lewis, Macklemore","Can't Hold Us (feat. Ray Dalton)",3,Ryan Lewis,Macklemore-Ryan Lewis,-356,254,254,1953533826
33,Macklemore,"Ray Dalton, Ryan Lewis, Macklemore","Can't Hold Us (feat. Ray Dalton)",3,Macklemore,Macklemore-Macklemore,-356,254,254,1953533826
115,Manuel Turizo,Manuel Turizo,La Bachata,1,Manuel Turizo,Manuel Turizo-Manuel Turizo,622,-288,-288,1214083358
78,Mariah Carey,Mariah Carey,All I Want for Christmas Is You,1,Mariah Carey,Mariah Carey-Mariah Carey,-699,-147,-147,1449779435
